Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
"Birne, ungezuckert (Konserve)",pro 100g essbarer Anteil,244,58,0.3,0,0.1,0.1,0,12.2,12.2,Sp.,2.3,0.4,0,84.7,,,,,,,,,,,,,,,,,,,,,13,0.2,0.8,0.1,k.A.
"Birnenkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,611,146,6.6,1.9,2.8,1.2,18,18.2,9.9,8.3,1.9,2.5,0.3,70.9,,,,,,,,,,,,,,,,,,,,,35,0.3,3.5,0.2,k.A.
"Birnenkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,606,145,6,1.7,2.5,1.1,18,19,9.9,9.1,1.9,2.8,0.2,70.4,,,,,,,,,,,,,,,,,,,,,44,0.4,3.5,0.3,k.A.
Birnensaft,pro 100 ml,214,51,0.5,0.2,0,0.2,0,11,11,0,Sp.,0.5,0,85.7,,,,,,,,,,,,,,,,,,,,,16,0.3,1,0.2,k.A.
Birnenweggen,pro 100g essbarer Anteil,1520,361,10.4,5.8,2.5,0.9,25,56.5,33.6,19.5,7.6,5,0.7,19.9,,,,,,,,,,,,,,,,,,,,,82,2,2.5,0.8,k.A.
"Blanc battu mit Früchten, mit Süsstoffen",pro 100g essbarer Anteil,287,68,0.2,0.1,0,0,0,8.4,5.3,2.6,0.3,8,0.1,83,,,,,,,,,,,,,,,,,,,,,140,0.1,19,0.5,k.A.
"Blanc battu, nature, mager",pro 100g essbarer Anteil,200,47,0,0,0,0,1,3.9,3.9,0,0,7.8,0.1,86.5,,,,,,,,,,,,,,,,,,,,,120,0.2,10,0.5,k.A.
"Blätterteig (mit pflanzichem Fett), ungebacken",pro 100g essbarer Anteil,1560,374,23.1,6.4,10.6,4.2,0,35.1,0.1,34.6,1.6,5.8,1,33.4,,,,,,,,,,,,,,,,,,,,,37,0.3,1,0.3,1.1
"Blätterteig, hausgemacht (Butter), ungebacken",pro 100g essbarer Anteil,1510,364,24.7,14.6,5.8,1.4,65,29.4,0.3,28.8,1.3,5.2,0.8,39.8,,,,,,,,,,,,,,,,,,,,,57,0.6,0.7,0.5,1.1
"Blätterteig, hausgemacht (mit pflanzlichem Fett), ungebacken",pro 100g essbarer Anteil,1490,358,24.1,6.7,11.1,4.4,0,29.4,0.1,28.9,1.3,5.2,0.9,40.5,,,,,,,,,,,,,,,,,,,,,58,0.7,1.1,0.5,1
Blätterteigstängel,pro 100g essbarer Anteil,2060,496,33.5,14.7,11.6,4,45,40.4,0.3,39.7,1.8,7.1,2.6,17.7,,,,,,,,,,,,,,,,,,,,,79,0.9,1.5,0.7,1.4
"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,91,22,0.3,0,0,0.1,0,2.2,2.1,0.2,2.3,1.5,0,93.7,,,,,,,,,,,,,,,,,,,,,34,0.5,2.4,0.2,k.A.
"Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett)",pro 100g essbarer Anteil,94,23,0.3,0,0,0.1,0,2.3,2.1,0.2,2.4,1.6,0,93.5,,,,,,,,,,,,,,,,,,,,,36,0.6,2.6,0.2,k.A.
"Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett)",pro 100g essbarer Anteil,88,21,0.2,0,0,0.1,0,2.1,2,0.2,2.3,1.4,0,93.9,,,,,,,,,,,,,,,,,,,,,33,0.5,2.3,0.2,k.A.
"Blattsalat (Durchschnitt), roh ",pro 100g essbarer Anteil,76,18,0.3,0.1,0,0.1,0,1.4,1.4,0,1.9,1.6,0,94.9,,,,,,,,,,,,,,,,,,,,,35,1,5.7,0.3,k.A.
Blauschimmelkäse (Durchschnitt),pro 100g essbarer Anteil,1490,360,31.5,18.9,7.4,1.5,95,0.2,0.1,0,0,19.1,3.8,48.9,,,,,,,,,,,,,,,,,,,,,390,0.4,40,2.5,k.A.
"Blumenkohl, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,110,26,0.3,0.1,0,0.2,0,2.3,2,0.3,2.4,2.4,0,92.6,,,,,,,,,,,,,,,,,,,,,48,0.4,0.6,0.3,k.A.
"Blumenkohl, roh",pro 100g essbarer Anteil,110,26,0.3,0.1,0,0.2,0,2.3,2,0.3,2.4,2.4,0,91.9,,,,,,,,,,,,,,,,,,,,,48,0.5,0.6,0.3,k.A.
Blutwurst,pro 100g essbarer Anteil,619,149,10.8,4.5,4.6,1,32,2.6,2.5,0,0.1,10.2,2,76.2,,,,,,,,,,,,,,,,,,,,,64,30,6.9,1.6,k.A.
"Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,465,111,0.6,0.1,0,0.3,0,14.5,0.4,12.7,8.5,7.7,0,68.8,,,,,,,,,,,,,,,,,,,,,150,2,0.4,1.1,k.A.
"Bohne (alle Arten), getrocknet",pro 100g essbarer Anteil,1280,305,1.5,0.3,0.1,0.7,0,40.7,1.2,35.6,22.6,20.9,0,10.4,,,,,,,,,,,,,,,,,,,,,440,6.3,1.1,3.2,k.A.
"Bohne, grün, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,136,32,0.2,0.1,0,0.1,0,3.8,2.3,1.5,3.3,2.2,0,90.5,,,,,,,,,,,,,,,,,,,,,40,0.9,3.1,0.3,k.A.
"Bohne, grün, getrocknet",pro 100g essbarer Anteil,1060,252,2,0.4,0.1,1.1,0,25.7,9.5,10.3,25.3,20.2,0.1,6,,,,,,,,,,,,,,,,,,,,,400,7.2,25,2.5,k.A.
"Bohne, grün, roh",pro 100g essbarer Anteil,129,31,0.2,0.1,0,0.1,0,3.6,2.2,1.4,3.1,2.1,0,90.3,,,,,,,,,,,,,,,,,,,,,38,1,3,0.3,k.A.
Bolognaisesauce,pro 100g essbarer Anteil,402,96,4,1.4,2.1,0.4,9,8.3,2.6,3.4,0.6,6.3,0.6,80.9,,,,,,,,,,,,,,,,,,,,,47,0.5,1.5,0.6,k.A.
"Bouillon, Fleisch, zubereitet",pro 100g essbarer Anteil,20,5,0.3,0.2,0.1,0,0,0.2,0,0.1,Sp.,0.3,1.1,98,,,,,,,,,,,,,,,,,,,,,13,0.2,3,0,k.A.
"Bouillon, Geflügel, zubereitet",pro 100g essbarer Anteil,21,5,0.3,0.1,0.1,0.1,5,0.3,0.1,0.1,Sp.,0.3,1,98.1,,,,,,,,,,,,,,,,,,,,,5,Sp.,2.8,Sp.,k.A.
"Bouillon, Gemüse, zubereitet",pro 100g essbarer Anteil,26,6,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,Sp.,0.3,0.9,97.5,,,,,,,,,,,,,,,,,,,,,3,0.1,3.6,0,k.A.
Branchli (Milchschokolade mit Haselnusscrèmefüllung),pro 100g essbarer Anteil,2330,558,35.7,17,14.3,2.3,8,49.1,47.3,0.6,3.7,8.3,0.2,3.9,,,,,,,,,,,,,,,,,,,,,210,1.5,5.4,1.3,k.A.
"Branntwein aus Getreide, 40 vol% (z.B. Whisky)",pro 100 ml,972,234,0,0,0,0,0,0.1,0.1,0,0,0,0,61.5,,,,,,,,,,,,,,,,,,,,,4.8,0,Sp.,0,k.A.
"Branntwein aus Wein (z.B.Cognac, Brandy)",pro 100 ml,944,228,0,0,0,0,0,1.9,1.9,0,0,0,0,61.6,,,,,,,,,,,,,,,,,,,,,0,0,0,0,k.A.
Branntwein aus Zuckerrohr (z.B. Rum),pro 100 ml,920,222,0,0,0,0,0,0,0,0,0,0,0,63.2,,,,,,,,,,,,,,,,,,,,,4.8,0.1,0,0.1,k.A.
Bratbutter,pro 100g essbarer Anteil,3640,885,98.3,58.9,23.1,4.5,282,0,0,0,0,0.1,0,1.1,,,,,,,,,,,,,,,,,,,,,0,0,Sp.,0.2,0
"Bratensauce, gebunden",pro 100g essbarer Anteil,221,53,3,0.7,1.3,0.3,0,4.6,0.8,3.7,0.5,1.6,1.4,88.8,,,,,,,,,,,,,,,,,,,,,40,0.6,3,0.8,k.A.
"Bratensauce, klar",pro 100g essbarer Anteil,182,44,2.5,0.5,1.3,0.3,0,3.5,1.5,2,0.5,1.5,2.3,90.6,,,,,,,,,,,,,,,,,,,,,40,0.6,3,0.8,k.A.
Bresaola,pro 100g essbarer Anteil,704,167,3.9,1.6,1.9,0.2,65,0.4,Sp.,Sp.,0,32.4,6.8,58.2,,,,,,,,,,,,,,,,,,,,,140,7.1,Sp.,4.1,k.A.
"Brie, Rahm",pro 100g essbarer Anteil,1420,342,30,18,7,1.4,90,0,0,0,0,17.7,1.4,48.5,,,,,,,,,,,,,,,,,,,,,340,0.2,20,2.3,k.A.
"Brie, vollfett",pro 100g essbarer Anteil,1240,298,23.5,14.1,5.5,1.1,71,0,0,0,0,21.4,1.3,51.4,,,,,,,,,,,,,,,,,,,,,300,0.1,8.3,2.5,k.A.
"Broccoli, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,119,28,0.4,0.1,0.1,0.2,0,2.2,2.1,0.1,2.7,2.7,0,92,,,,,,,,,,,,,,,,,,,,,61,1.1,14,0.4,k.A.
"Broccoli, roh",pro 100g essbarer Anteil,131,31,0.4,0.1,0.1,0.2,0,2.4,2.3,0.1,3,3,0,90.7,,,,,,,,,,,,,,,,,,,,,67,1.4,15,0.5,k.A.
"Brombeere, roh",pro 100g essbarer Anteil,185,44,0.4,Sp.,0.2,0.2,0,6.2,6.2,0,6,1,0,85,,,,,,,,,,,,,,,,,,,,,30,1,0.4,0.1,k.A.
"Brombeerkuchen, hausgemacht (mit süssem Mürbeteig)",pro 100g essbarer Anteil,923,221,12.4,4.7,4.7,1.8,28,21.8,8.9,12.7,4.1,3.7,0.3,58.3,,,,,,,,,,,,,,,,,,,,,59,1,8.8,0.4,k.A.
"Brombeerkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,572,137,6.6,1.9,2.9,1.2,18,14.2,5.9,8.3,4.4,2.9,0.3,72,,,,,,,,,,,,,,,,,,,,,46,0.8,3.2,0.2,k.A.
"Brombeerkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,568,136,6,1.7,2.6,1.2,18,15,5.9,9.1,4.4,3.2,0.2,71.5,,,,,,,,,,,,,,,,,,,,,55,1,3.3,0.3,k.A.
Brot (Durchschnitt),pro 100g essbarer Anteil,1110,264,4.6,2.3,1,0.7,14,44.6,1.3,42.9,3.7,9.2,1.6,38.7,,,,,,,,,,,,,,,,,,,,,130,1.5,2.7,1.2,2.9
Brühwürste geräuchert (Durchschnitt),pro 100g essbarer Anteil,1030,249,21.2,8.2,9.8,1.8,51,0.5,0.5,0,0,14,2.2,64.3,,,,,,,,,,,,,,,,,,,,,180,0.9,0.4,1.9,5.6
Brühwürste ungeräuchert (Durchschnitt),pro 100g essbarer Anteil,1040,251,21.6,8.1,10.2,2.2,58,0.8,0.8,0,0,13.4,2,64.2,,,,,,,,,,,,,,,,,,,,,170,0.7,1.2,1.4,k.A.
